ZP Download Data,,,,,,,,
2025/8/23 11:12,,,,,,,,
C:\Users\aoit0\OneDrive\デスクトップ\BWSC2025ZPデータ\ZP_Datayosen.csv,,,,,,,,
データ記録=,5秒間隔,,,,,,,
データ数=,1365,,,,,,,
No,Solar[A],Battery[A],Main_Volt[V],Solar_Watt[W],Battery_Watt[W],Sub_Volt[V],Speed[kmh],
55,0,0.2,100,0,20,0,0,
56,0,0.2,100,0,20,0,0,
57,0,0.2,100,0,20,0,0,
58,0,0.2,100,0,20,0,0,
59,0,0.2,100,0,20,0,0,
60,0,0.2,100,0,20,0,0,
61,0,0.2,100,0,20,0,0,
62,0,0.2,100,0,20,0,0,
63,0,0.2,100,0,20,0,0,
64,0,0.2,100,0,20,0,0,
65,0,0.2,100,0,20,0,0,
66,0,0.2,100,0,20,0,0,
67,0,0.2,100,0,20,0,0,
68,0,0.2,100,0,20,0,0,
69,0,0.2,100,0,20,0,0,
70,0,0.2,100,0,20,0,0,
71,0,0.2,100,0,20,0,0,
72,0,0.2,100,0,20,0,0,
73,0,0.2,100,0,20,0,0,
74,0,0.2,100,0,20,0,0,
75,0,0.2,100,0,20,0,0,
76,0,0.21,100,0,21,0,0,
77,0,0.2,100,0,20,0,0,
78,0,0.2,100,0,20,0,0,
79,0,0.2,100,0,20,0,0,
80,0,0.2,100,0,20,0,0,
81,0,0.2,100,0,20,0,0,
82,0,0.2,100,0,20,0,0,
83,0,0.2,100,0,20,0,0,
84,0,0.21,100,0,21,0,0,
85,0,0.2,100,0,20,0,0,
86,0,0.2,100,0,20,0,0,
87,0,0.2,100,0,20,0,0,
88,0,0.2,100,0,20,0,0,
89,0,0.2,100,0,20,0,0,
90,0,0.2,100,0,20,0,0,
91,9.53,-8.59,101.3,965.4,-870.2,0,0,
92,9.54,-8.61,101.3,966.4,-872.2,0,0,
93,9.55,-8.62,101.3,967.4,-873.2,0,0,
94,9.56,-8.63,101.4,969.4,-875.1,0,0,
95,9.56,-8.64,101.5,970.3,-877,0,0,
96,9.58,-8.64,101.5,972.4,-877,0,0,
97,9.57,-8.64,101.5,971.4,-877,0,0,
98,9.59,-8.65,101.5,973.4,-878,0,0,
99,9.58,-8.64,101.5,972.4,-877,0,0,
100,9.59,-8.66,101.5,973.4,-879,0,0,
101,9.59,-8.65,101.5,973.4,-878,0,0,
102,9.58,-8.64,101.6,973.3,-877.8,0,0,
103,9.57,-8.64,101.6,972.3,-877.8,0,0,
104,9.53,-8.6,101.6,968.2,-873.8,0,0,
105,9.5,-8.58,101.6,965.2,-871.7,0,0,
106,9.48,-8.55,101.6,963.2,-868.7,0,0,
107,9.45,-8.53,101.6,960.1,-866.6,0,0,
108,9.41,-8.5,101.6,956.1,-863.6,0,0,
109,9.39,-8.46,101.6,954,-859.5,0,0,
110,9.36,-8.45,101.6,951,-858.5,0,0,
111,9.32,-8.41,101.6,946.9,-854.5,0,0,
112,9.3,-8.39,101.6,944.9,-852.4,0,0,
113,9.28,-8.37,101.7,943.8,-851.2,0,0,
114,9.26,-8.36,101.7,941.7,-850.2,0,0,
115,9.24,-8.32,101.7,939.7,-846.1,0,0,
116,9.23,-8.31,101.7,938.7,-845.1,0,0,
117,9.21,-8.29,101.8,937.6,-843.9,0,0,
118,9.17,-8.27,101.8,933.5,-841.9,0,0,
119,9.16,-8.26,101.8,932.5,-840.9,0,0,
120,9.16,-8.26,101.8,932.5,-840.9,0,0,
121,9.15,-8.26,101.8,931.5,-840.9,0,0,
122,9.13,-8.23,101.8,929.4,-837.8,0,0,
123,9.06,-8.16,101.8,922.3,-830.7,0,0,
124,9.22,-8.3,101.8,938.6,-844.9,0,0,
125,9.2,-8.29,101.8,936.6,-843.9,0,0,
126,9.18,-8.27,101.8,934.5,-841.9,0,0,
127,9.15,-8.26,101.8,931.5,-840.9,0,0,
128,9.13,-8.23,101.8,929.4,-837.8,0,0,
129,9.11,-8.22,101.8,927.4,-836.8,0,0,
130,8.97,-8.08,101.8,913.1,-822.5,0,0,
131,8.97,-8.08,101.8,913.1,-822.5,0,0,
132,8.96,-8.07,101.8,912.1,-821.5,0,0,
133,9.02,-8.12,101.8,918.2,-826.6,0,0,
134,9,-8.1,101.8,916.2,-824.6,0,0,
135,8.96,-8.07,101.8,912.1,-821.5,0,0,
136,8.94,-8.07,101.8,910.1,-821.5,0,0,
137,8.92,-8.02,101.8,908.1,-816.4,0,0,
138,8.89,-8,101.8,905,-814.4,0,0,
139,8.87,-7.97,101.8,903,-811.3,0,0,
140,8.86,-7.97,101.8,901.9,-811.3,0,0,
141,8.83,-7.96,101.8,898.9,-810.3,0,0,
142,8.76,-7.88,101.8,891.8,-802.2,0,0,
143,8.65,-7.78,101.8,880.6,-792,0,0,
144,8.81,-7.93,101.9,897.7,-808.1,0,0,
145,8.79,-7.91,101.8,894.8,-805.2,0,0,
146,8.77,-7.89,101.9,893.7,-804,0,0,
147,8.76,-7.88,101.9,892.6,-803,0,0,
148,8.74,-7.86,101.8,889.7,-800.1,0,0,
149,8.72,-7.85,101.9,888.6,-799.9,0,0,
150,8.7,-7.84,101.9,886.5,-798.9,0,0,
151,8.67,-7.81,101.9,883.5,-795.8,0,0,
152,8.57,-7.72,101.9,873.3,-786.7,0,0,
153,8.63,-7.77,101.9,879.4,-791.8,0,0,
154,8.6,-7.73,101.9,876.3,-787.7,0,0,
155,8.57,-7.71,101.9,873.3,-785.6,0,0,
156,8.55,-7.68,101.9,871.2,-782.6,0,0,
157,8.54,-7.68,101.9,870.2,-782.6,0,0,
158,8.52,-7.66,101.9,868.2,-780.6,0,0,
159,8.5,-7.65,101.9,866.2,-779.5,0,0,
160,8.5,-7.64,101.9,866.2,-778.5,0,0,
161,8.48,-7.62,101.9,864.1,-776.5,0,0,
162,8.46,-7.62,101.9,862.1,-776.5,0,0,
163,8.45,-7.6,101.9,861.1,-774.4,0,0,
164,8.44,-7.58,101.9,860,-772.4,0,0,
165,8.43,-7.58,101.9,859,-772.4,0,0,
166,8.41,-7.56,101.9,857,-770.4,0,0,
167,8.4,-7.55,101.9,856,-769.3,0,0,
168,8.39,-7.53,101.9,854.9,-767.3,0,0,
169,8.39,-7.53,101.9,854.9,-767.3,0,0,
170,8.37,-7.52,101.9,852.9,-766.3,0,0,
171,8.37,-7.52,101.9,852.9,-766.3,0,0,
172,8.36,-7.52,101.9,851.9,-766.3,0,0,
173,8.36,-7.52,101.9,851.9,-766.3,0,0,
174,8.36,-7.52,101.9,851.9,-766.3,0,0,
175,8.35,-7.51,101.9,850.9,-765.3,0,0,
176,8.34,-7.49,101.9,849.8,-763.2,0,0,
177,8.32,-7.48,101.9,847.8,-762.2,0,0,
178,8.31,-7.48,102,847.6,-763,0,0,
179,8.3,-7.45,101.9,845.8,-759.2,0,0,
180,8.29,-7.44,101.9,844.8,-758.1,0,0,
181,8.27,-7.43,102,843.5,-757.9,0,0,
182,8.26,-7.42,102,842.5,-756.8,0,0,
183,8.24,-7.4,101.9,839.7,-754.1,0,0,
184,8.23,-7.39,102,839.5,-753.8,0,0,
185,8.22,-7.38,102,838.4,-752.8,0,0,
186,8.21,-7.37,102,837.4,-751.7,0,0,
187,0,0.2,100.9,0,20.2,0,0,
188,0,0.2,100.9,0,20.2,0,0,
189,0,0.2,100.8,0,20.2,0,0,
190,0,0.2,100.7,0,20.1,0,0,
191,0,0.2,100.7,0,20.1,0,0,
192,0,0.2,100.7,0,20.1,0,0,
193,0,0.2,100.7,0,20.1,0,0,
194,0,0.2,100.7,0,20.1,0,0,
195,0,0.2,100.7,0,20.1,0,0,
196,0,0.2,100.7,0,20.1,0,0,
197,0,0.2,100.6,0,20.1,0,0,
198,0,0.2,100.6,0,20.1,0,0,
199,0,0.2,100.6,0,20.1,0,0,
200,0,0.2,100.6,0,20.1,0,0,
201,0,0.2,100.6,0,20.1,0,0,
202,0,0.2,100.6,0,20.1,0,0,
203,0,0.2,100.6,0,20.1,0,0,
204,0,0.2,100.6,0,20.1,0,0,
205,0,0.2,100.6,0,20.1,0,0,
206,0,0.2,100.6,0,20.1,0,0,
207,0,0.2,100.6,0,20.1,0,0,
208,0,0.2,100.6,0,20.1,0,0,
209,0,0.2,100.6,0,20.1,0,0,
210,0,0.2,100.6,0,20.1,0,0,
211,0,0.2,100.6,0,20.1,0,0,
212,0,0.2,100.6,0,20.1,0,0,
213,0,0.2,100.6,0,20.1,0,0,
214,0,0.2,100.6,0,20.1,0,0,
215,0,0.2,100.5,0,20.1,0,0,
216,0,0.2,100.6,0,20.1,0,0,
217,0,0.2,100.5,0,20.1,0,0,
218,0,0.2,100.5,0,20.1,0,0,
219,0,0.2,100.4,0,20.1,0,0,
220,0,0.2,100.4,0,20.1,0,0,
221,0,0.2,100.4,0,20.1,0,0,
222,0,0.2,100.4,0,20.1,0,0,
223,0,0.2,100.4,0,20.1,0,0,
224,0,0.2,100.4,0,20.1,0,0,
225,0,0.2,100.4,0,20.1,0,0,
226,0,0.2,100.4,0,20.1,0,0,
227,0,0.2,100.4,0,20.1,0,0,
228,0,0.2,100.4,0,20.1,0,0,
229,0,0.2,100.4,0,20.1,0,0,
230,0,0.2,100.4,0,20.1,0,0,
231,0,0.2,100.4,0,20.1,0,0,
232,0,0.2,100.4,0,20.1,0,0,
233,0,0.2,100.4,0,20.1,0,0,
234,0,0.2,100.4,0,20.1,0,0,
235,0,0.2,100.4,0,20.1,0,0,
236,0,0.2,100.4,0,20.1,0,0,
237,0,0.2,100.4,0,20.1,0,0,
238,0,0.2,100.4,0,20.1,0,0,
239,0,0.2,100.4,0,20.1,0,0,
240,0,0.2,100.4,0,20.1,0,0,
241,0,0.2,100.4,0,20.1,0,0,
242,0,0.2,100.4,0,20.1,0,0,
243,0,0.2,100.4,0,20.1,0,0,
244,0,0.2,100.4,0,20.1,0,0,
245,0,0.2,100.4,0,20.1,0,0,
246,0,0.2,100.4,0,20.1,0,0,
247,0,0.2,100.4,0,20.1,0,0,
248,0,0.2,100.4,0,20.1,0,0,
249,0,0.2,100.4,0,20.1,0,0,
250,0,0.2,100.4,0,20.1,0,0,
251,0,0.2,100.4,0,20.1,0,0,
252,0,0.2,100.4,0,20.1,0,0,
253,0,0.2,100.4,0,20.1,0,0,
254,0,0.2,100.4,0,20.1,0,0,
255,0,0.2,100.4,0,20.1,0,0,
256,0,0.2,100.4,0,20.1,0,0,
257,0,0.2,100.4,0,20.1,0,0,
258,0,0.2,100.4,0,20.1,0,0,
259,0,0.2,100.4,0,20.1,0,0,
260,0,0.2,100.4,0,20.1,0,0,
261,0,0.2,100.4,0,20.1,0,0,
262,0,0.2,100.4,0,20.1,0,0,
263,0,0.2,100.4,0,20.1,0,0,
264,0,0.2,100.4,0,20.1,0,0,
265,0,0.2,100.4,0,20.1,0,0,
266,0,0.2,100.4,0,20.1,0,0,
267,0,0.2,100.4,0,20.1,0,0,
268,0,0.2,100.4,0,20.1,0,0,
269,0,0.2,100.4,0,20.1,0,0,
270,0,0.2,100.4,0,20.1,0,0,
271,0,0.2,100.4,0,20.1,0,0,
272,0,0.2,100.4,0,20.1,0,0,
273,0,0.2,100.4,0,20.1,0,0,
274,0,0.2,100.4,0,20.1,0,0,
275,0,0.2,100.4,0,20.1,0,0,
276,0,0.2,100.4,0,20.1,0,0,
277,0,0.2,100.3,0,20.1,0,0,
278,0,0.2,100.4,0,20.1,0,0,
279,0,0.2,100.4,0,20.1,0,0,
280,0,0.2,100.4,0,20.1,0,0,
281,0,0.2,100.4,0,20.1,0,0,
282,0,0.2,100.4,0,20.1,0,0,
283,0,0.2,100.4,0,20.1,0,0,
284,0,0.2,100.4,0,20.1,0,0,
285,0,0.2,100.4,0,20.1,0,0,
286,0,0.2,100.3,0,20.1,0,0,
287,0,0.2,100.4,0,20.1,0,0,
288,0,0.2,100.4,0,20.1,0,0,
289,0,0.2,100.4,0,20.1,0,0,
290,0,0.2,100.4,0,20.1,0,0,
291,0,0.2,100.4,0,20.1,0,0,
292,0,0.2,100.4,0,20.1,0,0,
293,0,0.2,100.4,0,20.1,0,0,
294,0,0.2,100.4,0,20.1,0,0,
295,0,0.2,100.4,0,20.1,0,0,
296,0,0.2,100.4,0,20.1,0,0,
297,0,0.2,100.4,0,20.1,0,0,
298,0,0.2,100.4,0,20.1,0,0,
299,0,0.2,100.3,0,20.1,0,0,
300,0,0.2,100.4,0,20.1,0,0,
301,0,0.2,100.3,0,20.1,0,0,
302,0,0.2,100.3,0,20.1,0,0,
303,0,0.2,100.3,0,20.1,0,0,
304,0,0.2,100.3,0,20.1,0,0,
305,0,0.2,100.4,0,20.1,0,0,
306,0,0.2,100.4,0,20.1,0,0,
307,0,0.2,100.4,0,20.1,0,0,
308,0,0.2,100.3,0,20.1,0,0,
309,0,0.2,100.4,0,20.1,0,0,
310,0,0.2,100.3,0,20.1,0,0,
311,0,0.2,100.3,0,20.1,0,0,
312,0,0.2,100.3,0,20.1,0,0,
313,0,0.2,100.3,0,20.1,0,0,
314,0,0.2,100.4,0,20.1,0,0,
315,0,0.2,100.4,0,20.1,0,0,
316,0,0.2,100.3,0,20.1,0,0,
317,0,0.2,100.3,0,20.1,0,0,
318,0,0.2,100.3,0,20.1,0,0,
319,0,0.2,100.3,0,20.1,0,0,
320,0,0.2,100.3,0,20.1,0,0,
321,0,0.2,100.4,0,20.1,0,0,
322,0,0.2,100.4,0,20.1,0,0,
323,0,0.2,100.3,0,20.1,0,0,
324,0,0.2,100.3,0,20.1,0,0,
325,0,0.2,100.3,0,20.1,0,0,
326,0,0.2,100.3,0,20.1,0,0,
327,0,0.2,100.3,0,20.1,0,0,
328,0,0.2,100.4,0,20.1,0,0,
329,0,0.2,100.4,0,20.1,0,0,
330,0,0.2,100.3,0,20.1,0,0,
331,0,0.2,100.3,0,20.1,0,0,
332,0,0.2,100.4,0,20.1,0,0,
333,0,0.2,100.3,0,20.1,0,0,
334,0,0.2,100.3,0,20.1,0,0,
335,0,0.2,100.3,0,20.1,0,0,
336,0,0.2,100.3,0,20.1,0,0,
337,0,0.21,100.4,0,21.1,0,0,
338,0,0.2,100.4,0,20.1,0,0,
339,0,0.2,100.3,0,20.1,0,0,
340,0,0.2,100.3,0,20.1,0,0,
341,0,0.2,100.4,0,20.1,0,0,
342,0,0.2,100.3,0,20.1,0,0,
343,0,0.2,100.3,0,20.1,0,0,
344,0,0.2,100.3,0,20.1,0,0,
345,0,0.2,100.3,0,20.1,0,0,
346,0,0.2,100.4,0,20.1,0,0,
347,0,0.2,100.3,0,20.1,0,0,
348,0,0.2,100.3,0,20.1,0,0,
349,0,0.2,100.3,0,20.1,0,0,
350,0,0.2,100.3,0,20.1,0,0,
351,0,0.2,100.3,0,20.1,0,0,
352,0,0.2,100.3,0,20.1,0,0,
353,0,0.2,100.3,0,20.1,0,0,
354,0,0.2,100.3,0,20.1,0,0,
355,0,0.2,100.3,0,20.1,0,0,
356,0,0.2,100.3,0,20.1,0,0,
357,0,0.2,100.3,0,20.1,0,0,
358,0,0.2,100.3,0,20.1,0,0,
359,0,0.2,100.4,0,20.1,0,0,
360,0,0.2,100.4,0,20.1,0,0,
361,0,0.2,100.3,0,20.1,0,0,
362,0,0.2,100.3,0,20.1,0,0,
363,0,0.2,100.3,0,20.1,0,0,
364,0,0.2,100.3,0,20.1,0,0,
365,0,0.2,100.3,0,20.1,0,0,
366,0,0.2,100.3,0,20.1,0,0,
367,0,0.2,100.3,0,20.1,0,0,
368,0,0.2,100.3,0,20.1,0,0,
369,0,0.2,100.3,0,20.1,0,0,
370,0,0.2,100.3,0,20.1,0,0,
371,0,0.21,100.3,0,21.1,0,0,
372,0,0.2,100.3,0,20.1,0,0,
373,0,0.2,100.3,0,20.1,0,0,
374,0,0.2,100.3,0,20.1,0,0,
375,0,0.2,100.3,0,20.1,0,0,
376,0,0.2,100.3,0,20.1,0,0,
377,0,0.2,100.3,0,20.1,0,0,
378,0,0.2,100.3,0,20.1,0,0,
379,0,0.2,100.3,0,20.1,0,0,
380,0,0.2,100.3,0,20.1,0,0,
381,0,0.2,100.3,0,20.1,0,0,
382,0,0.2,100.3,0,20.1,0,0,
383,0,0.2,100.3,0,20.1,0,0,
384,0,0.2,100.3,0,20.1,0,0,
385,0,0.2,100.3,0,20.1,0,0,
386,0,0.2,100.3,0,20.1,0,0,
387,0,0.2,100.3,0,20.1,0,0,
388,0,0.2,100.3,0,20.1,0,0,
389,0,0.2,100.3,0,20.1,0,0,
390,0,0.2,100.3,0,20.1,0,0,
391,0,0.2,100.3,0,20.1,0,0,
392,0,0.2,100.3,0,20.1,0,0,
393,0,0.2,100.3,0,20.1,0,0,
394,0,0.2,100.3,0,20.1,0,0,
395,0,0.2,100.3,0,20.1,0,0,
396,0,0.2,100.3,0,20.1,0,0,
397,0,0.2,100.3,0,20.1,0,0,
398,0,0.2,100.3,0,20.1,0,0,
399,0,0.21,100.3,0,21.1,0,0,
400,0,0.2,100.3,0,20.1,0,0,
401,0,0.2,100.3,0,20.1,0,0,
402,0,0.2,100.3,0,20.1,0,0,
403,0,0.2,100.3,0,20.1,0,0,
404,0,0.2,100.3,0,20.1,0,0,
405,0,0.2,100.3,0,20.1,0,0,
406,0,0.2,100.3,0,20.1,0,0,
407,0,0.2,100.3,0,20.1,0,0,
408,0,0.2,100.3,0,20.1,0,0,
409,0,0.2,100.3,0,20.1,0,0,
410,0,0.2,100.3,0,20.1,0,0,
411,0,0.2,100.3,0,20.1,0,0,
412,0,0.2,100.3,0,20.1,0,0,
413,0,0.21,100.3,0,21.1,0,0,
414,0,0.2,100.3,0,20.1,0,0,
415,0,0.2,100.3,0,20.1,0,0,
416,0,0.2,100.3,0,20.1,0,0,
417,0,0.2,100.3,0,20.1,0,0,
418,0,0.2,100.3,0,20.1,0,0,
419,0,0.2,100.3,0,20.1,0,0,
420,0,0.2,100.3,0,20.1,0,0,
421,0,0.2,100.3,0,20.1,0,0,
422,0,0.2,100.3,0,20.1,0,0,
423,0,0.2,100.3,0,20.1,0,0,
424,0,0.2,100.3,0,20.1,0,0,
425,0,0.2,100.3,0,20.1,0,0,
426,0,0.2,100.3,0,20.1,0,0,
427,0,0.2,100.3,0,20.1,0,0,
428,0,0.2,100.3,0,20.1,0,0,
429,0,0.2,100.3,0,20.1,0,0,
430,0,0.2,100.3,0,20.1,0,0,
431,0,0.2,100.3,0,20.1,0,0,
432,0,0.2,100.3,0,20.1,0,0,
433,0,0.2,100.3,0,20.1,0,0,
434,0,0.2,100.3,0,20.1,0,0,
435,0,0.2,100.3,0,20.1,0,0,
436,0,0.2,100.3,0,20.1,0,0,
437,0,0.2,100.3,0,20.1,0,0,
438,0,0.2,100.3,0,20.1,0,0,
439,0,0.2,100.3,0,20.1,0,0,
440,0,0.2,100.3,0,20.1,0,0,
441,0,0.2,100.3,0,20.1,0,0,
442,0,0.2,100.3,0,20.1,0,0,
443,0,0.2,100.3,0,20.1,0,0,
444,0,0.2,100.3,0,20.1,0,0,
445,0,0.2,100.3,0,20.1,0,0,
446,0,0.2,100.3,0,20.1,0,0,
447,0,0.2,100.3,0,20.1,0,0,
448,0,0.2,100.3,0,20.1,0,0,
449,0,0.2,100.3,0,20.1,0,0,
450,0,0.2,100.3,0,20.1,0,0,
451,0,0.2,100.3,0,20.1,0,0,
452,0,0.2,100.3,0,20.1,0,0,
453,0,0.2,100.3,0,20.1,0,0,
454,0,0.2,100.3,0,20.1,0,0,
455,0,0.2,100.3,0,20.1,0,0,
456,0,0.2,100.3,0,20.1,0,0,
457,0,0.2,100.3,0,20.1,0,0,
458,0,0.2,100.3,0,20.1,0,0,
459,0,0.2,100.3,0,20.1,0,0,
460,0,0.2,100.3,0,20.1,0,0,
461,0,0.2,100.3,0,20.1,0,0,
462,0,0.2,100.3,0,20.1,0,0,
463,0,0.2,100.3,0,20.1,0,0,
464,0,0.2,100.3,0,20.1,0,0,
465,0,0.2,100.3,0,20.1,0,0,
466,0,0.2,100.3,0,20.1,0,0,
467,0,0.21,100.3,0,21.1,0,0,
468,0,0.2,100.3,0,20.1,0,0,
469,0,0.2,100.3,0,20.1,0,0,
470,0,0.2,100.3,0,20.1,0,0,
471,0,0.2,100.3,0,20.1,0,0,
472,0,0.2,100.3,0,20.1,0,0,
473,0,0.2,100.3,0,20.1,0,0,
474,0,0.2,100.3,0,20.1,0,0,
475,0,0.2,100.3,0,20.1,0,0,
476,0,0.2,100.3,0,20.1,0,0,
477,0,0.2,100.3,0,20.1,0,0,
478,0,0.2,100.3,0,20.1,0,0,
479,0,0.2,100.3,0,20.1,0,0,
480,0,0.2,100.3,0,20.1,0,0,
481,0,0.2,100.3,0,20.1,0,0,
482,0,0.2,100.3,0,20.1,0,0,
483,0,0.2,100.3,0,20.1,0,0,
484,0,0.2,100.3,0,20.1,0,0,
485,0,0.2,100.3,0,20.1,0,0,
486,0,0.2,100.3,0,20.1,0,0,
487,0,0.2,100.3,0,20.1,0,0,
488,0,0.2,100.3,0,20.1,0,0,
489,0,0.2,100.3,0,20.1,0,0,
490,0,0.2,100.3,0,20.1,0,0,
491,0,0.2,100.3,0,20.1,0,0,
492,0,0.2,100.3,0,20.1,0,0,
493,0,0.2,100.3,0,20.1,0,0,
494,0,0.2,100.3,0,20.1,0,0,
495,0,0.2,100.3,0,20.1,0,0,
496,0,0.2,100.3,0,20.1,0,0,
497,0,0.2,100.3,0,20.1,0,0,
498,0,0.2,100.3,0,20.1,0,0,
499,0,0.2,100.3,0,20.1,0,0,
500,0,0.2,100.3,0,20.1,0,0,
501,0,0.2,100.3,0,20.1,0,0,
502,0,0.2,100.3,0,20.1,0,0,
503,0,0.2,100.3,0,20.1,0,0,
504,0,0.2,100.3,0,20.1,0,0,
505,0,0.2,100.3,0,20.1,0,0,
506,0,0.2,100.3,0,20.1,0,0,
507,0,0.2,100.3,0,20.1,0,0,
508,0,0.2,100.3,0,20.1,0,0,
509,0,0.2,100.3,0,20.1,0,0,
510,0,0.2,100.3,0,20.1,0,0,
511,0,0.2,100.3,0,20.1,0,0,
512,0,0.2,100.3,0,20.1,0,0,
513,0,0.2,100.3,0,20.1,0,0,
514,0,0.2,100.3,0,20.1,0,0,
515,0,0.2,100.3,0,20.1,0,0,
516,0,0.2,100.3,0,20.1,0,0,
517,0,0.2,100.3,0,20.1,0,0,
518,0,0.2,100.3,0,20.1,0,0,
519,0,0.2,100.3,0,20.1,0,0,
520,0,0.2,100.3,0,20.1,0,0,
521,0,0.2,100.3,0,20.1,0,0,
522,0,0.2,100.3,0,20.1,0,0,
523,0,0.2,100.3,0,20.1,0,0,
524,0,0.2,100.3,0,20.1,0,0,
525,0,0.2,100.3,0,20.1,0,0,
526,0,0.2,100.3,0,20.1,0,0,
527,0,0.2,100.3,0,20.1,0,0,
528,0,0.2,100.3,0,20.1,0,0,
529,0,0.2,100.3,0,20.1,0,0,
530,0,0.2,100.3,0,20.1,0,0,
531,0,0.2,100.3,0,20.1,0,0,
532,0,0.2,100.3,0,20.1,0,0,
533,0,0.2,100.3,0,20.1,0,0,
534,0,0.2,100.3,0,20.1,0,0,
535,0,0.2,100.3,0,20.1,0,0,
536,0,0.2,100.3,0,20.1,0,0,
537,0,0.2,100.3,0,20.1,0,0,
538,0,0.2,100.3,0,20.1,0,0,
539,0,0.2,100.3,0,20.1,0,0,
540,0,0.21,100.3,0,21.1,0,0,
541,0,0.2,100.3,0,20.1,0,0,
542,0,0.2,100.3,0,20.1,0,0,
543,0,0.2,100.3,0,20.1,0,0,
544,0,0.2,100.3,0,20.1,0,0,
545,0,0.2,100.3,0,20.1,0,0,
546,0,0.2,100.3,0,20.1,0,0,
547,0,0.2,100.3,0,20.1,0,0,
548,0,0.2,100.3,0,20.1,0,0,
549,0,0.2,100.3,0,20.1,0,0,
550,0,0.2,100.3,0,20.1,0,0,
551,0,0.2,100.3,0,20.1,0,0,
552,0,0.2,100.3,0,20.1,0,0,
553,0,0.2,100.3,0,20.1,0,0,
554,0,0.2,100.3,0,20.1,0,0,
555,0,0.2,100.3,0,20.1,0,0,
556,0,0.2,100.3,0,20.1,0,0,
557,0,0.2,100.3,0,20.1,0,0,
558,0,0.2,100.3,0,20.1,0,0,
559,0,0.2,100.3,0,20.1,0,0,
560,0,0.2,100.3,0,20.1,0,0,
561,0,0.2,100.3,0,20.1,0,0,
562,0,0.2,100.3,0,20.1,0,0,
563,0,0.2,100.3,0,20.1,0,0,
564,0,0.2,100.3,0,20.1,0,0,
565,0,0.2,100.3,0,20.1,0,0,
566,0,0.2,100.3,0,20.1,0,0,
567,0,0.2,100.3,0,20.1,0,0,
568,0,0.2,100.3,0,20.1,0,0,
569,0,0.2,100.3,0,20.1,0,0,
570,0,0.2,100.3,0,20.1,0,0,
571,0,0.2,100.3,0,20.1,0,0,
572,0,0.2,100.3,0,20.1,0,0,
573,0,0.2,100.3,0,20.1,0,0,
574,0,0.2,100.3,0,20.1,0,0,
575,0,0.2,100.3,0,20.1,0,0,
576,0,0.2,100.3,0,20.1,0,0,
577,0,0.2,100.3,0,20.1,0,0,
578,0,0.2,100.3,0,20.1,0,0,
579,0,0.2,100.3,0,20.1,0,0,
580,0,0.2,100.3,0,20.1,0,0,
581,0,0.2,100.3,0,20.1,0,0,
582,0,0.2,100.3,0,20.1,0,0,
583,0,0.2,100.3,0,20.1,0,0,
584,0,0.2,100.3,0,20.1,0,0,
